Abdon,Abdonie
Ludosław,Ludosławie
Ludwik,Ludwiku
Ludwika,Ludwiko
Ludwina,Ludwino
Luiza,Luizo
Lukrecja,Lukrecjo
Lutobor,Lutoborze
Lutogniew,Lutogniewie
Lutomir,Lutomirze
Lutomysł,Lutomyśle
Lutosław,Lutosławie
Ładysław,Ładysławie
Łazarz,Łazarzu
Łękomir,Łękomirze
Łucja,Łucjo
Łucjan,Łucjanie
Łucjusz,Łucjuszu
Mokij,Mokiju
Machabeusz,Machabeuszu
Maciej,Macieju
Madlena,Madleno
Magda,Magdo
Magdalena,Magdaleno
Magnus,Magnusie
Maja,Majo
Makary,Makary
Maksym,Maksymie
Maksymilian,Maksymilianie
Maksymin,Maksymie
Malina,Malino
Malkolm,Malkolmie
Malwin,Malwinie
Malwina,Malwino
Małgorzata,Małgorzato
Mamert,Mamercie
Manfred,Manfredzie
Manfreda,Manfredo
Manswet,Manswecie
Manuela,Manuelo
Marcel,Marceli
Marcela,Marcelo
Marceli,Marceli
Marcelin,Marcelinie
Marcelina,Marcelino
Marcin,Marcinie
Marcjal,Marcjalnie
Marcjan,Marcjanie
Marcjanna,Marcjanno
Marek,Marku
Margareta,Margareto
Maria Magdalena,Mario Magdaleno
Maria,Mario
Marian,Marianie
Marianna,Marianno
Marietta,Marietto
Marika,Mariko
Marina,Marino
Mariola,Mariolo
Marita,Marito
Mariusz,Mariuszu
Marlena,Marleno
Marta,Marto
Martyn,Martynie
Martyna,Martyno
Martynian,Martynianie
Maryla,Marylo
Maryna,Maryno
Marzanna,Marzanno
Marzena,Marzeno
Masław,Masławie
Materna,Materno
Mateusz,Mateuszu
Matron,Matronie
Matylda,Matyldo
Maur,Maurze
Maura,Mauro
Maurycy,Maurycy
Mauryn,Maurynie
Mechtylda,Machtyldo
Medard,Medardzie
Melania,Melanio
Melchior,Melchiorze
Metoda,Metodo
Metody,Metody
Męcimir,Męcimirze
Michalina,Michalino
Michał,Michale
Mieczysław,Mieczysławie
Mieczysława,Mieczysławo
Mieszko,Mieszko
Mikołaj,Mikołaju
Milena,Mileno
Milenia,Milenio
Miligost,Miligoscie
Miła,Miło
Miłogost,Miłogoście
Miłorad,Miłoradzie
Mirosław,Mirosławie
Mirosława,Mirosławo
Miłosz,Miłoszu
Miłowan,Miłowanie
Miłowit,Miłowicie
Mina,Mino
Mindora,Mindoro
Minodora,Minodoro
Mira,Miro
Mirabella,Mirabello
Miranda,Mirando
Mirella,Mirello
Mirogniew,Mirogniewie
Miromir,Miromirze
Miron,Mironie
Mironieg,Mironiegu
Mironiega,Mironiego
Miłosław,Miłosławie
Miłosława,Miłosławo
Modest,Modeście
Modesta,Modesto
Mojmir,Mojmirze
Mokij,Mokiju
Monika,Moniko
Morzysław,Morzysławie
Mścibor,Mściborze
Mścigniew,Mścigniewie
Mścisław,Mścisławie
Mścisława,Mścisławo
Mściwój,Msciwoju
Miron,Mironie
Jadwiga,Jadwigo
